TITLE,CODE,CATEGORY,REGION,ADDRESS,CITY,STATE,GPS,FILENAME,,
9/11 Memorial - The Eternal Flame,911382,911,,520 S King St,Honolulu,HI,"21.305040, -157.857665",911382.jpg,,
“May We Never Forget” Mural,911169,911,,202 Main St,Rock Rapids,IA,"43.431883, -96.167017 ",911169.jpg,,
“The World Family” Sculpture,911170,911,,Hwy 18,Emmetsburg,IA,"43.111700, -94.665517 ",911170.jpg,,
"""9/11 Memorial Flag"" Mural",911172,911,,221 Main Street,Varina,IA,"42.658317, -94.899050 ",911172.jpg,,
9/11 Memorial - Iowa Firefighters Memorial ,911206,911,,900 1st Ave,Coralville,IA,"41.690728, -91.566022",911206.jpg,,
9-11 Memorial - Clear Lake Fire Station,911422,911,,113 N 8th St.,Clear Lake,IA,"43.139071, -93.378992",911422.jpg,,
9-11 Memorial - Etching - Sioux Center Area Veterans Memorial,911473,911,,102 S Main Ave,Sioux Center,IA,"43.076573, -96.175083",911473.jpg,,
Parma 9/11 Memorial ,911071,911,,1008 E. Stockton Rd.,Parma,ID,"43.780329, -116.932882",911071.jpg,,
9/11 Memorial - Fallen Heroes Plaza ,911203,911,,1500 N 15th St,Coeur d'Alene,ID,"47.69028, -116.76223",911203.jpg,,
Madison FD 9/11 Memorial,911268,911,,26 N Center St,Rexburg,ID,"43.826927, -111.783785",911268.jpg,,
9/11 Memorial -  Municipal Fallen Firefighters,911269,911,,1791 Shoreline Dr,Boise,ID,"43.617639, -116.223973",911269.jpg,,
9-11 Freezeout Hill Memorial,911405,911,,Hwy ID 16,Emmett,ID,"43.844205, -116.468169",911405.jpg,,
9/11 Memorial Antenna Base,911066,911,,730 Maine Street,Quincy,IL,"39.931822, -91.404107",911066.jpg,,
9/11 Emergency Responders Memorial,911067,911,,West State Street and Kilburn Avenue,Rockford,IL,"42.274105, -89.102011",911067.jpg,,
CMDR Dan Shanower 9/11 Memorial,911133,911,,400 S Eagle St,Naperville,IL,"41.771307, -88.152136",911133.jpg,,
Belleville FD Station 4 9/11 Memorial,911161,911,,1125 S Illinois St,Belleville,IL,"38.499700, -89.984903",911161.jpg,,
Holiday Shores FD 9/11 Memorial,911162,911,,93 Holiday Dam Rd,Edwardsville,IL,"38.913867, -89.943966",911162.jpg,,
Coal City FD 9/11 Memorial,911163,911,,1455 S Berta Rd,Coal City,IL,"41.267010, -88.265873",911163.jpg,,
9/11 Memorial - Illinois Fallen Firefighters Memorial ,911221,911,,840 S Spring St,Springfield,IL,"39.79791, -89.65572",911221.jpg,,
9/11 Memorial - Wild Meadows Trace ,911286,911,,Spring Rd and Prairie Path Lane,Elmhurst,IL,"41.88548, -87.94945",911286.jpg,,
Wheaton 9/11 Memorial ,911287,911,,115 County Farm Rd,Wheaton,IL,"41.866119, -88.138279",911287.jpg,,
We Remember - 9/11 Memorial,911288,911,,Lincoln Hwy (IL 2) at Palmyra Rd,Dixon,IL,"41.84798, -89.50329",911288.jpg,,
9/11 Memorial - Oak Lawn train station,911327,911,,5120 Museum Dr,Oak Lawn,IL,"41.719338, -87.748832",911327.jpg,,
Decatur 9/11 Memorial in Nelson Park,911440,911,,2301 S Lake Shore Dr,Decatur,IL,"39.831722, -88.922224",911440.jpg,,
9-11 Memorial - Never Forget,911456,911,,"Memorial Park, 309 S Main St",Wauconda,IL,"42.258296, -88.139103",911456.jpg,,
9-11 Memorial - Cemetery,911458,911,,33100 N Hunt Club Rd,Libertyville,IL,"42.343467, -87.964333",911458.jpg,,
9/11 Memorial,911495,911,,SW 2nd St and SW 2nd Ave.,Aledo,IL,"41.200606, -90.750788",911495.jpg,,
9/11 Memorial - Riverfront Park,911496,911,,"Riverfront Park, 300 N Harrison",Algonquin,IL,"42.168655, -88.288673",911496.jpg,,
"9/11 Memorial - Carpentersville Fire Department Station #1",911497,911,,213 Spring St. ,Carpentersville,IL,"42.108410, -88.284933",911497.jpg,,
"9/11 Memorial - Baumann Park",911498,911,,Baumann Park,Cherry Valley,IL,"42.230989, -88.957905",911498.jpg,,
9/11 First Responders Memorial,911499,911,,E Williams and Hazel St,Danville,IL,"40.133466, -87.628328",911499.jpg,,
9/11 Memorial - Tri-State Fire Protection District Station 2,911500,911,,419 Plainfield Rd,Darien/Woodridge,IL,"41.756019, -87.956366",911500.jpg,,
9/11 Memorial - Des Plaines Civic Center,911501,911,,1420 Miner Street,Des Plaines,IL,"42.042205, -87.888517",911501.jpg,,
9/11 Memorial - Fireman's Museum,911502,911,,333 W Nebraska,Frankfort,IL,"41.497867, -87.857525",911502.jpg,,
9/11 Memorial - Solace,911503,911,,17 Highwood Ave,Highwood,IL,"42.201818, -87.809184",911503.jpg,,
Bicentennial Park 9/11 Memorial,911504,911,,Bluff St and W Jefferson,Joliet,IL,"41.525276, -88.087243",911504.jpg,,
9/11 Memorial - Lincolnshire-Riverwoods Fire Protection District Station 51,911505,911,,115 Schelter Rd,Lincolnshire/Riverwoods,IL,"42.194779, -87.939425",911505.jpg,,
9/11 Memorial - Justen Funeral Home,911506,911,,Justen Funeral Home,McHenry,IL,"42.322188, -88.270101",911506.jpg,,
9/11 Memorial - 110-ft Flag Pole ,911507,911,,"2655 Sycamore Dr., parking lot of Stock and Field store",Morris,IL,"41.385001, -88.422942",911507.jpg,,
9/11 Memorial - Mundelein Fire Department,911508,911,,1000 N Midlothian Rd,Mundelein,IL,"42.278983, -88.019492",911508.jpg,,
9/11 Memorial - City Hall,911509,911,,Butler Pl and Courtland Ave to the right of City Hall building,Park Ridge,IL,"42.008160, -87.830941",911509.jpg,,
9/11 Memorial - Shiloh Community Park,911510,911,,Seibert Rd and Park Dr. ,Shiloh,IL,"38.558514, -89.897681",911510.jpg,,
9/11 Memorial - Tinley Park Fire Department Station 1,911511,911,,17355 S 68th Court,Tinley Park,IL,"41.575791, -87.785568",911511.jpg,,
9/11 Memorial - Livingston Field Park,911512,911,,"Livingston Field Park, Leavitt and Polk Sts",Chicago,IL,"41.871589, -87.681314",911512.jpg,,
9/11 Memorial - Ridgewood Memorial Park,911513,911,,Ridgewood Cemetery on Milwaukee Ave,Des Plaines,IL,"42.062672, -87.848808",911513.jpg,,
9/11 Memorial - Memorial Park,911065,911,,421 W Ohio St,Indianapolis,IN,"39.770061, -86.165807",911065.jpg,,
9/11 Memorial Plaque - Circut Court Bldg ,911289,911,,20 E Main St,Nashville,IN,"39.20729, -86.24677",911289.jpg,,
9/11 Memorial -  Rensselaer FD,911290,911,,1060 W Clark St,Rensselaer,IN,"40.941160, -87.167597",911290.jpg,,
9/11 Memorial - Central Park,911291,911,,119 E Canal St,Warsaw,IN,"41.24231, -85.85421",911291.jpg,,
9-11 Memorial Steel Beam in front of Fire Station 2 - Dedicated to Honor and Remember Those Who Lost Their Lives,911414,911,,902 S Grandstaff Drive,Auburn,IN,"41.362064, -85.070970",911414.jpg,,
9-11 Memorial,911457,911,,211 W Madison St,Plymouth,IN,"41.343883, -86.311083",911457.jpg,,
9-11 Memorial - Cemetery,911464,911,,"Elm Ridge Cemetery, 4600 Kilgore AVE",Muncie,IN,"40.181317, -85.440717",911464.jpg,,
Kansas 9/11 Memorial - Overland Park Fire Training Center,911090,911,,12401 Hemlock St,Overland Park,KS,"38.902684, -94.683104",911090.jpg,,
9/11 Memorial - Anthony Memorial Park,911091,911,,W Main St and S Lawrence Ave,Anthony,KS,"37.151703, -98.038305",911091.jpg,,
9/11 Firefighters Memorial,911187,911,,115 S D St,Arkansas City,KS,"37.061233, -97.034233 ",911187.jpg,,
"9-11 Memorial - Wright Park, Dodge City’s Liberty Garden ",911425,911,,108 4th Ave,Dodge City,KS,"37.749689, -100.020730",911425.jpg,,
9/11 Memorial -  Noble Park.,911073,911,,Noble Park Trace,Paducah,KY,"37.093659, -88.636726",911073.jpg,,
Paducah Global War on Terrorism Memorial,911074,911,,Clark Street,Paducah,KY,"37.083078, -88.598139",911074.jpg,,
Henderson FD 9/11 Memorial,911164,911,,343 Starlite Dr,Henderson,KY,"37.863294, -87.557286",911164.jpg,,
Owensboro 9/11 Memorial ,911165,911,,3845 S Griffith Ave,Owensboro,KY,"37.735463, -87.124710",911165.jpg,,
Kentucky 9/11 Memorial,911166,911,,2501 N Dixie Blvd,Radcliff,KY,"37.868612, -85.961690",911166.jpg,,
Greenville 9/11 Memorial ,911167,911,,136 S Main St,Greenville,KY,"37.199880, -87.178156",911167.jpg,,
Northern Kentucky 9/11 Memorial,911200,911,,800 Buttermilk Pike,Crescent Springs,KY,"39.055850, -84.586296",911200.jpg,,
